item,trial_type,Group ,pic_width,pic_height,Prime_word,Target_word,Prime_pic_correct,prime_pic_correct_link,Prime_pic_distract,prime_pic_distract_link,Target_pic_correct,target_pic_correct_link,Target_pic_distract,target_pic_distract_link,prime_sound,target_sound,prime_soundfile,target_soundfile
14,ing prime,A,,,drinking,drinking,drinking_c.png,https://github.com/avray327/child-ing-study/blob/main/images/drinking_c.png?raw=true,drinking_pw.png,https://github.com/avray327/child-ing-study/blob/main/images/drinking_pw.png?raw=true,drinking_c.png,https://github.com/avray327/child-ing-study/blob/main/images/drinking_c.png?raw=true,drinking_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/drinking_tw.png?raw=true,drinking.wav,drinking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drinking.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drinking.wav?raw=true
15,unrel prime,A,,,pizza,reading,pizza_c.png,https://github.com/avray327/child-ing-study/blob/main/images/pizza_c.png?raw=true,pizza_w.png,https://github.com/avray327/child-ing-study/blob/main/images/pizza_w.png?raw=true,reading_c.png,https://github.com/avray327/child-ing-study/blob/main/images/reading_c.png?raw=true,reading_tw.png,https://github.com/avray327/child-ing-study/blob/main/images/reading_tw.png?raw=true,pizza.wav,reading.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/pizza.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/reading.wav?raw=true
16,filler,A,,,book,baby,book_c.png,https://github.com/avray327/child-ing-study/blob/main/images/book_c.png?raw=true,book_w.png,https://github.com/avray327/child-ing-study/blob/main/images/book_w.png?raw=true,baby_c.png,https://github.com/avray327/child-ing-study/blob/main/images/baby_c.png?raw=true,baby_w.png,https://github.com/avray327/child-ing-study/blob/main/images/baby_w.png?raw=true,book.wav,baby.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/book.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/baby.wav?raw=true
17,filler,A,,,hand,spoon,hand_c.png,https://github.com/avray327/child-ing-study/blob/main/images/hand_c.png?raw=true,hand_w.png,https://github.com/avray327/child-ing-study/blob/main/images/hand_w.png?raw=true,spoon_c.png,https://github.com/avray327/child-ing-study/blob/main/images/spoon_c.png?raw=true,spoon_w.png,https://github.com/avray327/child-ing-study/blob/main/images/spoon_w.png?raw=true,hand.wav,spoon.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hand.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/spoon.wav?raw=true
18,filler,A,,,doll,cup,doll_c.png,https://github.com/avray327/child-ing-study/blob/main/images/doll_c.png?raw=true,doll_w.png,https://github.com/avray327/child-ing-study/blob/main/images/doll_w.png?raw=true,cup_c.png,https://github.com/avray327/child-ing-study/blob/main/images/cup_c.png?raw=true,cup_w.png,https://github.com/avray327/child-ing-study/blob/main/images/cup_w.png?raw=true,doll.wav,cup.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/doll.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cup.wav?raw=true
19,filler,A,,,nose,duck,nose_c.png,https://github.com/avray327/child-ing-study/blob/main/images/nose_c.png?raw=true,nose_w.png,https://github.com/avray327/child-ing-study/blob/main/images/nose_w.png?raw=true,duck_c.png,https://github.com/avray327/child-ing-study/blob/main/images/duck_c.png?raw=true,duck_w.png,https://github.com/avray327/child-ing-study/blob/main/images/duck_w.png?raw=true,nose.wav,duck.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/nose.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/duck.wav?raw=true
20,filler,A,,,ball,hat,ball_c.png,https://github.com/avray327/child-ing-study/blob/main/images/ball_c.png?raw=true,ball_w.png,https://github.com/avray327/child-ing-study/blob/main/images/ball_w.png?raw=true,hat_c.png,https://github.com/avray327/child-ing-study/blob/main/images/hat_c.png?raw=true,hat_w.png,https://github.com/avray327/child-ing-study/blob/main/images/hat_w.png?raw=true,ball.wav,hat.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/ball.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hat.wav?raw=true
21,filler,A,,,cow,house,cow_c.png,https://github.com/avray327/child-ing-study/blob/main/images/cow_c.png?raw=true,cow_w.png,https://github.com/avray327/child-ing-study/blob/main/images/cow_w.png?raw=true,house_c.png,https://github.com/avray327/child-ing-study/blob/main/images/house_c.png?raw=true,house_w.png,https://github.com/avray327/child-ing-study/blob/main/images/house_w.png?raw=true,cow.wav,house.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cow.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/house.wav?raw=true
22,filler,A,,,bear,bread,bear_c.png,https://github.com/avray327/child-ing-study/blob/main/images/bear_c.png?raw=true,bear_w.png,https://github.com/avray327/child-ing-study/blob/main/images/bear_w.png?raw=true,bread_c.png,https://github.com/avray327/child-ing-study/blob/main/images/bread_c.png?raw=true,bread_w.png,https://github.com/avray327/child-ing-study/blob/main/images/bread_w.png?raw=true,bear.wav,bread.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bear.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bread.wav?raw=true
23,filler,A,,,horse,clock,horse_c.png,https://github.com/avray327/child-ing-study/blob/main/images/horse_c.png?raw=true,horse_w.png,https://github.com/avray327/child-ing-study/blob/main/images/horse_w.png?raw=true,clock_c.png,https://github.com/avray327/child-ing-study/blob/main/images/clock_c.png?raw=true,clock_w.png,https://github.com/avray327/child-ing-study/blob/main/images/clock_w.png?raw=true,horse.wav,clock.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/horse.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clock.wav?raw=true
24,filler,A,,,feet,car,feet_c.png,https://github.com/avray327/child-ing-study/blob/main/images/feet_c.png?raw=true,feet_w.png,https://github.com/avray327/child-ing-study/blob/main/images/feet_w.png?raw=true,car_c.png,https://github.com/avray327/child-ing-study/blob/main/images/car_c.png?raw=true,car_w.png,https://github.com/avray327/child-ing-study/blob/main/images/car_w.png?raw=true,feet.wav,car.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/feet.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/car.wav?raw=true
