item,trial_type,Group ,pic_width,pic_height,Prime_word,Target_word,Prime_pic_correct,prime_pic_correct_link,Prime_pic_distract,prime_pic_distract_link,Target_pic_correct,target_pic_correct_link,Target_pic_distract,target_pic_distract_link,prime_sound,target_sound,prime_soundfile,target_soundfile
24,filler,C,,,feet,car,feet_c.png,https://github.com/avray327/child-ing-study/blob/main/images/feet_c.png?raw=true,feet_w.png,https://github.com/avray327/child-ing-study/blob/main/images/feet_w.png?raw=true,car_c.png,https://github.com/avray327/child-ing-study/blob/main/images/car_c.png?raw=true,car_w.png,https://github.com/avray327/child-ing-study/blob/main/images/car_w.png?raw=true,feet.wav,car.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/feet.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/car.wav?raw=true
25,filler,C,,,sandwich,bird,sandwich_c.png,https://github.com/avray327/child-ing-study/blob/main/images/sandwich_c.png?raw=true,sandwich_w.png,https://github.com/avray327/child-ing-study/blob/main/images/sandwich_w.png?raw=true,bird_c.png,https://github.com/avray327/child-ing-study/blob/main/images/bird_c.png?raw=true,bird_w.png,https://github.com/avray327/child-ing-study/blob/main/images/bird_w.png?raw=true,sandwich.wav,bird.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sandwich.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bird.wav?raw=true
26,filler,C,,,door,cat,door_c.png,https://github.com/avray327/child-ing-study/blob/main/images/door_c.png?raw=true,door_w.png,https://github.com/avray327/child-ing-study/blob/main/images/door_w.png?raw=true,cat_c.png,https://github.com/avray327/child-ing-study/blob/main/images/cat_c.png?raw=true,cat_w.png,https://github.com/avray327/child-ing-study/blob/main/images/cat_w.png?raw=true,door.wav,cat.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/door.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cat.wav?raw=true
27,filler,C,,,shirt,tree,shirt_c.png,https://github.com/avray327/child-ing-study/blob/main/images/shirt_c.png?raw=true,shirt_w.png,https://github.com/avray327/child-ing-study/blob/main/images/shirt_w.png?raw=true,tree_c.png,https://github.com/avray327/child-ing-study/blob/main/images/tree_c.png?raw=true,tree_w.png,https://github.com/avray327/child-ing-study/blob/main/images/tree_w.png?raw=true,shirt.wav,tree.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/shirt.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/tree.wav?raw=true
28,filler,C,,,orange,shoe,orange_c.png,https://github.com/avray327/child-ing-study/blob/main/images/orange_c.png?raw=true,orange_w.png,https://github.com/avray327/child-ing-study/blob/main/images/orange_w.png?raw=true,shoe_c.png,https://github.com/avray327/child-ing-study/blob/main/images/shoe_c.png?raw=true,shoe_w.png,https://github.com/avray327/child-ing-study/blob/main/images/shoe_w.png?raw=true,orange.wav,shoe.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/orange.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/shoe.wav?raw=true
29,filler,C,,,bed,frog,bed_c.png,https://github.com/avray327/child-ing-study/blob/main/images/bed_c.png?raw=true,bed_w.png,https://github.com/avray327/child-ing-study/blob/main/images/bed_w.png?raw=true,frog_c.png,https://github.com/avray327/child-ing-study/blob/main/images/frog_c.png?raw=true,frog_w.png,https://github.com/avray327/child-ing-study/blob/main/images/frog_w.png?raw=true,bed.wav,frog.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bed.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/frog.wav?raw=true
30,filler,C,,,boat,sock,boat_c.png,https://github.com/avray327/child-ing-study/blob/main/images/boat_c.png?raw=true,boat_w.png,https://github.com/avray327/child-ing-study/blob/main/images/boat_w.png?raw=true,sock_c.png,https://github.com/avray327/child-ing-study/blob/main/images/sock_c.png?raw=true,sock_w.png,https://github.com/avray327/child-ing-study/blob/main/images/sock_w.png?raw=true,boat.wav,sock.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/boat.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sock.wav?raw=true
31,filler,C,,,mouse,cake,mouse_c.png,https://github.com/avray327/child-ing-study/blob/main/images/mouse_c.png?raw=true,mouse_w.png,https://github.com/avray327/child-ing-study/blob/main/images/mouse_w.png?raw=true,cake_c.png,https://github.com/avray327/child-ing-study/blob/main/images/cake_c.png?raw=true,cake_w.png,https://github.com/avray327/child-ing-study/blob/main/images/cake_w.png?raw=true,mouse.wav,cake.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/mouse.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cake.wav?raw=true
,practice,,,,cheese,girl,cheese_c.png,https://github.com/avray327/child-ing-study/blob/main/images/cheese_c.png?raw=true,cheese_w.png,https://github.com/avray327/child-ing-study/blob/main/images/cheese_w.png?raw=true,girl_c.png,https://github.com/avray327/child-ing-study/blob/main/images/girl_c.png?raw=true,girl_w.png,https://github.com/avray327/child-ing-study/blob/main/images/girl_w.png?raw=true,,,,
,practice,,,,chair,sheep,chair_c.png,https://github.com/avray327/child-ing-study/blob/main/images/chair_c.png?raw=true,chair_w.png,https://github.com/avray327/child-ing-study/blob/main/images/chair_w.png?raw=true,sheep_c.png,https://github.com/avray327/child-ing-study/blob/main/images/sheep_c.png?raw=true,sheep_w.png,https://github.com/avray327/child-ing-study/blob/main/images/sheep_w.png?raw=true,,,,
,practice,,,,moon,pig,moon_c.png,https://github.com/avray327/child-ing-study/blob/main/images/moon_c.png?raw=true,moon_w.png,https://github.com/avray327/child-ing-study/blob/main/images/moon_w.png?raw=true,pig_c.png,https://github.com/avray327/child-ing-study/blob/main/images/pig_c.png?raw=true,pig_w.png,https://github.com/avray327/child-ing-study/blob/main/images/pig_w.png?raw=true,,,,
,practice,,,,milk,eye,milk_c.png,https://github.com/avray327/child-ing-study/blob/main/images/milk_c.png?raw=true,milk_w.png,https://github.com/avray327/child-ing-study/blob/main/images/milk_w.png?raw=true,eye_c.png,https://github.com/avray327/child-ing-study/blob/main/images/eye_c.png?raw=true,eye_w.png,https://github.com/avray327/child-ing-study/blob/main/images/eye_w.png?raw=true,,,,
,practice,,,,falling,pants,falling_c.png,https://github.com/avray327/child-ing-study/blob/main/images/falling_c.png?raw=true,falling_w.png,https://github.com/avray327/child-ing-study/blob/main/images/falling_w.png?raw=true,pants_c.png,https://github.com/avray327/child-ing-study/blob/main/images/pants_c.png?raw=true,pants_w.png,https://github.com/avray327/child-ing-study/blob/main/images/pants_w.png?raw=true,,,,
,practice,,,,fish,cooking,fish_c.png,https://github.com/avray327/child-ing-study/blob/main/images/fish_c.png?raw=true,fish_w.png,https://github.com/avray327/child-ing-study/blob/main/images/fish_w.png?raw=true,cooking_c.png,https://github.com/avray327/child-ing-study/blob/main/images/cooking_c.png?raw=true,cooking_w.png,https://github.com/avray327/child-ing-study/blob/main/images/cooking_w.png?raw=true,,,,
