item,trial_type,Group ,pic_width,pic_height,Prime_word,Target_word,Prime_pic_correct,Prime_pic_distract,Target_pic_correct,Target_pic_distract,prime_sound,target_sound,prime_soundfile,target_soundfile
15,in prime,C,,,readin,reading,reading_c.png,reading_pw.png,reading_c.png,reading_tw.png,readin.wav,reading.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/readin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/reading.wav?raw=true
16,filler,C,,,book,baby,book_c.png,book_w.png,baby_c.png,baby_w.png,book.wav,baby.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/book.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/baby.wav?raw=true
17,filler,C,,,hand,spoon,hand_c.png,hand_w.png,spoon_c.png,spoon_w.png,hand.wav,spoon.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hand.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/spoon.wav?raw=true
18,filler,C,,,doll,cup,doll_c.png,doll_w.png,cup_c.png,cup_w.png,doll.wav,cup.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/doll.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cup.wav?raw=true
19,filler,C,,,nose,duck,nose_c.png,nose_w.png,duck_c.png,duck_w.png,nose.wav,duck.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/nose.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/duck.wav?raw=true
20,filler,C,,,ball,hat,ball_c.png,ball_w.png,hat_c.png,hat_w.png,ball.wav,hat.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/ball.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hat.wav?raw=true
21,filler,C,,,cow,house,cow_c.png,cow_w.png,house_c.png,house_w.png,cow.wav,house.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cow.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/house.wav?raw=true
22,filler,C,,,bear,bread,bear_c.png,bear_w.png,bread_c.png,bread_w.png,bear.wav,bread.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bear.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bread.wav?raw=true
23,filler,C,,,horse,clock,horse_c.png,horse_w.png,clock_c.png,clock_w.png,horse.wav,clock.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/horse.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clock.wav?raw=true
24,filler,C,,,feet,car,feet_c.png,feet_w.png,car_c.png,car_w.png,feet.wav,car.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/feet.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/car.wav?raw=true
25,filler,C,,,sandwich,bird,sandwich_c.png,sandwich_w.png,bird_c.png,bird_w.png,sandwich.wav,bird.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sandwich.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bird.wav?raw=true
26,filler,C,,,door,cat,door_c.png,door_w.png,cat_c.png,cat_w.png,door.wav,cat.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/door.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cat.wav?raw=true
27,filler,C,,,shirt,tree,shirt_c.png,shirt_w.png,tree_c.png,tree_w.png,shirt.wav,tree.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/shirt.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/tree.wav?raw=true
28,filler,C,,,orange,shoe,orange_c.png,orange_w.png,shoe_c.png,shoe_w.png,orange.wav,shoe.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/orange.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/shoe.wav?raw=true
29,filler,C,,,bed,frog,bed_c.png,bed_w.png,frog_c.png,frog_w.png,bed.wav,frog.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bed.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/frog.wav?raw=true
30,filler,C,,,boat,sock,boat_c.png,boat_w.png,sock_c.png,sock_w.png,boat.wav,sock.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/boat.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sock.wav?raw=true
31,filler,C,,,mouse,cake,mouse_c.png,mouse_w.png,cake_c.png,cake_w.png,mouse.wav,cake.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/mouse.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cake.wav?raw=true
,practice,,,,cheese,girl,cheese_c.png,cheese_w.png,girl_c.png,girl_w.png,,,,
,practice,,,,chair,sheep,chair_c.png,chair_w.png,sheep_c.png,sheep_w.png,,,,
,practice,,,,moon,pig,moon_c.png,moon_w.png,pig_c.png,pig_w.png,,,,
,practice,,,,milk,eye,milk_c.png,milk_w.png,eye_c.png,eye_w.png,,,,
,practice,,,,falling,pants,falling_c.png,falling_w.png,pants_c.png,pants_w.png,,,,
,practice,,,,fish,cooking,fish_c.png,fish_w.png,cooking_c.png,cooking_w.png,,,,
